ward,code,qualification,crime_rate,employment
Camden - Regent's Park,E05000142,36.1,131.3,54.4
Camden - St. Pancras and Somers Town,E05000143,29.5,93.5,53
Camden - Swiss Cottage,E05000144,60.4,70,72.3
Camden - West Hampstead,E05000145,60.6,77.6,76.2
Croydon - Addiscombe,E05000146,38,61,74.1
Croydon - Ashburton,E05000147,27.3,58.1,71.7
Croydon - Bensham Manor,E05000148,29.4,64.4,67.5
Croydon - Broad Green,E05000149,26.9,151.3,64.6
Croydon - Coulsdon East,E05000150,30.3,34.9,73.9
Croydon - Coulsdon West,E05000151,34.9,46.7,75.5
Croydon - Croham,E05000152,42.1,57.3,76.5
Croydon - Fairfield,E05000153,45.9,215.9,73.1
Croydon - Fieldway,E05000154,12.5,61.8,58.5
Croydon - Heathfield,E05000155,29.3,70.7,74.3
Croydon - Kenley,E05000156,36.1,35.9,75
Croydon - New Addington,E05000157,12.8,70,64.4
Croydon - Norbury,E05000158,34.1,54.2,69.5
Croydon - Purley,E05000159,40.5,78.1,74.1
Croydon - Sanderstead,E05000160,35,29.6,74.9
Croydon - Selhurst,E05000161,28.4,95.9,64.7
Croydon - Selsdon and Ballards,E05000162,32,35.5,76.4
Croydon - Shirley,E05000163,27.1,44.1,72.3
Croydon - South Norwood,E05000164,35,80,68.7
Croydon - Thornton Heath,E05000165,28.3,82,66.8
Croydon - Upper Norwood,E05000166,35.2,70.8,69.7
Croydon - Waddon,E05000167,30.1,74.3,69.9
Croydon - West Thornton,E05000168,27.3,90.3,64.6
Croydon - Woodside,E05000169,29,65,69
Ealing - Acton Central,E05000170,40.4,77.9,69.4
Ealing - Cleveland,E05000171,46.2,47.8,68.6
Ealing - Dormers Wells,E05000172,24.4,54,61
Ealing - Ealing Broadway,E05000173,57.7,145.7,75.1
Ealing - Ealing Common,E05000174,52.6,68.9,74.6
Ealing - East Acton,E05000175,38.3,103.7,68.3
Ealing - Elthorne,E05000176,40.6,77.5,73.1
Ealing - Greenford Broadway,E05000177,25.8,81.2,66.4
Ealing - Greenford Green,E05000178,30.2,74.8,72.6
Ealing - Hanger Hill,E05000179,50.8,60.4,71.9
Ealing - Hobbayne,E05000180,33.3,44.2,70.6
Ealing - Lady Margaret,E05000181,25.4,46.2,66.6
Ealing - Northfield,E05000182,54.8,44.5,78.6
Ealing - North Greenford,E05000183,30.1,51.8,72.3
Ealing - Northolt Mandeville,E05000184,25.7,63.3,67.3
Ealing - Northolt West End,E05000185,21.7,67.5,61.9
Ealing - Norwood Green,E05000186,26.7,91.1,57.3
Ealing - Perivale,E05000187,30.8,73.3,71.4
Ealing - South Acton,E05000188,39.4,88.7,68.1
Ealing - Southall Broadway,E05000189,21.9,107.9,59.1
Ealing - Southall Green,E05000190,21.6,83.9,59.7
Ealing - Southfield,E05000191,57.8,64.5,77.6
Ealing - Walpole,E05000192,53.7,73.8,77.3
Enfield - Bowes,E05000193,36.3,50.8,71.9
Enfield - Bush Hill Park,E05000194,32.6,53.9,73
Enfield - Chase,E05000195,28.1,55.8,69.5
Enfield - Cockfosters,E05000196,35,46.4,66.9
Enfield - Edmonton Green,E05000197,19.5,117.7,53.8
Enfield - Enfield Highway,E05000198,18.6,82.4,60.1
Enfield - Enfield Lock,E05000199,23.5,69.2,62
Enfield - Grange,E05000200,39.1,59.4,74.8
Enfield - Haselbury,E05000201,21.4,61.1,59.3
Enfield - Highlands,E05000202,35.1,40.4,72.9
Enfield - Jubilee,E05000203,20.9,58.8,62.2
Enfield - Lower Edmonton,E05000204,20,56.2,57.9
Enfield - Palmers Green,E05000205,33.5,70.3,70.2
Enfield - Ponders End,E05000206,21,80.6,58
Enfield - Southbury,E05000207,25.4,98.8,65
Enfield - Southgate,E05000208,41.2,62.6,71.1
Enfield - Southgate Green,E05000209,40,43.2,70.4
Enfield - Town,E05000210,33,50.3,75.9
Enfield - Turkey Street,E05000211,17.9,74.5,60.9
Enfield - Upper Edmonton,E05000212,21.5,120.2,58.4
Enfield - Winchmore Hill,E05000213,42.9,43.7,75.1
Greenwich - Abbey Wood,E05000214,24.2,77.6,63.6
Greenwich - Blackheath Westcombe,E05000215,57.5,76.6,75.5
Greenwich - Charlton,E05000216,37.2,60.7,67.7
Greenwich - Coldharbour and New Eltham,E05000217,23.4,58.1,70.7
Greenwich - Eltham North,E05000218,31.8,67.2,75.1
Greenwich - Eltham South,E05000219,25.1,75.9,64.9
Greenwich - Eltham West,E05000220,21.2,59.9,64
Greenwich - Glyndon,E05000221,28.6,60.9,62.5
Greenwich - Greenwich West,E05000222,49.9,104,68.6
Greenwich - Kidbrooke with Hornfair,E05000223,30.8,70.3,67.3
Greenwich - Middle Park and Sutcliffe,E05000224,29.6,64.4,65.6
Greenwich - Peninsula,E05000225,49.5,107.6,74.2
Greenwich - Plumstead,E05000226,25.2,78.7,63.9
Greenwich - Shooters Hill,E05000227,31.3,46.3,69.5
Greenwich - Thamesmead Moorings,E05000228,32.4,70.5,62.9
Greenwich - Woolwich Common,E05000229,26.7,103,60.5
Greenwich - Woolwich Riverside,E05000230,35.2,112.8,64.7
Hackney - Brownswood,E05000231,51.7,87.3,72
Hackney - Cazenove,E05000232,35.6,49.7,64.8
Hackney - Chatham,E05000233,37.6,115.3,63
Hackney - Clissold,E05000234,53.5,75.4,73.3
Hackney - Dalston,E05000235,48.6,158.6,70.4
Hackney - De Beauvoir,E05000236,49.8,147.9,71.1
Hackney - Hackney Central,E05000237,42,114.6,66.6
Hackney - Hackney Downs,E05000238,42.2,80,65.1
Hackney - Haggerston,E05000239,45.8,162.3,67.4
Hackney - Hoxton,E05000240,41.7,127.2,62.7
Hackney - King's Park,E05000241,30.6,68,57.6
Hackney - Leabridge,E05000242,41.5,79.9,65.6
Hackney - Lordship,E05000243,40.4,66.5,64.6
Hackney - New River,E05000244,26.6,63.1,58.2
Hackney - Queensbridge,E05000245,44.6,116.8,67.7
Hackney - Springfield,E05000246,21.9,73.7,53.8
Hackney - Stoke Newington Central,E05000247,52.4,93.3,73.4
Hackney - Victoria,E05000248,41.8,93,65.6
Hackney - Wick,E05000249,34.4,99.8,60.4
Hammersmith and Fulham - Addison,E05000250,57.4,107.4,76.2
Hammersmith and Fulham - Askew,E05000251,45.1,75.4,71.8
Hammersmith and Fulham - Avonmore and Brook Green,E05000252,54.5,70.5,69.5
Hammersmith and Fulham - College Park and Old Oak,E05000253,31.9,115.7,62.6
Hammersmith and Fulham - Fulham Broadway,E05000254,47.7,95.2,72.4
Hammersmith and Fulham - Fulham Reach,E05000255,51.6,98.6,71
Hammersmith and Fulham - Hammersmith Broadway,E05000256,45.3,224.9,69.9
Hammersmith and Fulham - Munster,E05000257,56.9,64.5,76.7
Hammersmith and Fulham - North End,E05000258,52.6,64.6,72.7
Hammersmith and Fulham - Palace Riverside,E05000259,56.2,90.8,74.3
Hammersmith and Fulham - Parsons Green and Walham,E05000260,56.4,124.8,73.7
Hammersmith and Fulham - Ravenscourt Park,E05000261,55.1,101.1,72.2
Hammersmith and Fulham - Sands End,E05000262,47.6,69.6,69.3
Hammersmith and Fulham - Shepherd's Bush Green,E05000263,46.5,281.4,72
Hammersmith and Fulham - Town,E05000264,57.9,100.7,76.4
Hammersmith and Fulham - Wormholt and White City,E05000265,32,71.9,62.2
Haringey - Alexandra,E05000266,58.5,63.6,76.7
Haringey - Bounds Green,E05000267,37.3,82,69
Haringey - Bruce Grove,E05000268,27.6,85.2,61.8
Haringey - Crouch End,E05000269,67,67.3,80.9
Haringey - Fortis Green,E05000270,58.4,57.9,75.9
Haringey - Harringay,E05000271,46.6,89.5,71.8
Haringey - Highgate,E05000272,65.7,56.6,79
Haringey - Hornsey,E05000273,51.5,67.2,72.4
Haringey - Muswell Hill,E05000274,62.8,71.7,78.4
Haringey - Noel Park,E05000275,33.8,200.7,63.2
Haringey - Northumberland Park,E05000276,20.2,130.5,52.3
Haringey - St. Ann's,E05000277,35.2,71,65.6
Haringey - Seven Sisters,E05000278,29,80,63.7
Haringey - Stroud Green,E05000279,60.5,54,77.3
Haringey - Tottenham Green,E05000280,29.2,134.5,61.3
Haringey - Tottenham Hale,E05000281,23.1,103.7,56.3
Haringey - West Green,E05000282,30.6,80.4,63.3
Haringey - White Hart Lane,E05000283,20.7,82.1,54.8
Haringey - Woodside,E05000284,32.9,84.2,66.6
Harrow - Belmont,E05000285,36.4,35.3,71.8
Harrow - Canons,E05000286,40.8,42.1,71.9
Harrow - Edgware,E05000287,29.4,52.6,68.6
Harrow - Greenhill,E05000288,46,129.9,71.1
Harrow - Harrow on the Hill,E05000289,41.8,57.3,68.2
Harrow - Harrow Weald,E05000290,32.3,47,69.1
Harrow - Hatch End,E05000291,41.8,41.5,73.2
Harrow - Headstone North,E05000292,43.6,40.9,73.8
Harrow - Headstone South,E05000293,43,39.7,71.7
Harrow - Kenton East,E05000294,27.6,33.5,68.5
Harrow - Kenton West,E05000295,34.1,40,71.6
Harrow - Marlborough,E05000296,35.5,60.9,68.4
Harrow - Pinner,E05000297,44.3,44.7,71.8
Harrow - Pinner South,E05000298,47.5,24.5,75.2
Harrow - Queensbury,E05000299,30.5,37.4,68.1
Harrow - Rayners Lane,E05000300,37.9,33.5,71.5
Harrow - Roxbourne,E05000301,29.2,53.1,64.8
Harrow - Roxeth,E05000302,28.9,64.1,68.6
Harrow - Stanmore Park,E05000303,35.3,53.3,68.6
Harrow - Wealdstone,E05000304,27.2,54.5,65.1
Harrow - West Harrow,E05000305,40.7,31.2,71.5
Havering - Brooklands,E05000306,21.3,71.9,72.7
Havering - Cranham,E05000307,23.3,32.3,75.6
Havering - Elm Park,E05000308,16.5,39.4,73.4
Havering - Emerson Park,E05000309,24.3,36.3,74.3
Havering - Gooshays,E05000310,13.2,79.9,63
Havering - Hacton,E05000311,17.9,26.1,75.7
Havering - Harold Wood,E05000312,20.6,67.8,72.2
Havering - Havering Park,E05000313,15.3,45.7,69.1
Havering - Heaton,E05000314,13.7,68.2,64.3
Havering - Hylands,E05000315,19.2,55.8,75.6
Havering - Mawneys,E05000316,16.3,52.2,73.2
Havering - Pettits,E05000317,19.9,40.8,74.9
Havering - Rainham and Wennington,E05000318,14.9,74.1,72.4
Havering - Romford Town,E05000319,26.3,167.9,74.4
Havering - St. Andrew's,E05000320,18.9,65.2,76.1
Havering - South Hornchurch,E05000321,14,56.7,70.5
Havering - Squirrel's Heath,E05000322,24.3,40.8,77.3
Havering - Upminster,E05000323,27.9,49.7,76.4
Hillingdon - Barnhill,E05000324,22.4,81.6,65
Hillingdon - Botwell,E05000325,21.4,96.5,64
Hillingdon - Brunel,E05000326,23.6,96.8,57.5
Hillingdon - Cavendish,E05000327,29.9,33.8,77.6
Hillingdon - Charville,E05000328,21.1,52.6,71
Hillingdon - Eastcote and East Ruislip,E05000329,38.1,41.9,76.8
Hillingdon - Harefield,E05000330,25,64.3,75.7
Hillingdon - Heathrow Villages,E05000331,24.2,272.2,71.7
Hillingdon - Hillingdon East,E05000332,24.2,55.8,72.4
Hillingdon - Ickenham,E05000333,36,33.2,76.6
Hillingdon - Manor,E05000334,29.6,38.8,80.5
Hillingdon - Northwood,E05000335,46.4,46.3,73.3
Hillingdon - Northwood Hills,E05000336,37.1,53.9,74.3
Hillingdon - Pinkwell,E05000337,22.8,73.6,66.8
Hillingdon - South Ruislip,E05000338,27.3,64.8,77.5
Hillingdon - Townfield,E05000339,22.2,131.2,63.2
Hillingdon - Uxbridge North,E05000340,34.9,100.6,74
Hillingdon - Uxbridge South,E05000341,29.9,103.3,56.8
Hillingdon - West Drayton,E05000342,24,81.5,69
Hillingdon - West Ruislip,E05000343,33.9,65.4,78.2
Hillingdon - Yeading,E05000344,26,76.4,66.1
Hillingdon - Yiewsley,E05000345,23.1,110.1,68.2
Hounslow - Bedfont,E05000346,20.2,65,72.2
Hounslow - Brentford,E05000347,35.3,80,68
Hounslow - Chiswick Homefields,E05000348,55.7,83.5,76.1
Hounslow - Chiswick Riverside,E05000349,56,62.2,77.4
Hounslow - Cranford,E05000350,26.2,74.4,65.6
Hounslow - Feltham North,E05000351,21.1,77.4,71.6
Hounslow - Feltham West,E05000352,25,69.8,71.8
Hounslow - Hanworth,E05000353,19.2,72.9,66.9
Hounslow - Hanworth Park,E05000354,22.2,70.5,72.9
Hounslow - Heston Central,E05000355,32,53,66.6
Hounslow - Heston East,E05000356,33.4,63.3,67.5
Hounslow - Heston West,E05000357,24.4,100.3,62.2
Hounslow - Hounslow Central,E05000358,42.8,166.8,71.4
Hounslow - Hounslow Heath,E05000359,34.6,64,67.6
Hounslow - Hounslow South,E05000360,32.9,41.4,74.1
Hounslow - Hounslow West,E05000361,33.5,92.1,69.6
Hounslow - Isleworth,E05000362,33.8,69.5,70.6
Hounslow - Osterley and Spring Grove,E05000363,45.9,73.2,75.3
Hounslow - Syon,E05000364,38.9,82.2,73
Hounslow - Turnham Green,E05000365,55.4,95,77
Islington - Barnsbury,E05000366,51.5,131.4,68.1
Islington - Bunhill,E05000367,45.2,179.7,59.8
Islington - Caledonian,E05000368,39.1,138.8,61.7
Islington - Canonbury,E05000369,47.3,80.2,69.2
Islington - Clerkenwell,E05000370,47.9,154.3,62.6
Islington - Finsbury Park,E05000371,41.8,161.3,65.4
Islington - Highbury East,E05000372,58.8,98.2,74.5
Islington - Highbury West,E05000373,56.3,88.5,74.5
Islington - Hillrise,E05000374,43.7,74,65.7
Islington - Holloway,E05000375,43.3,83.3,63.9
Islington - Junction,E05000376,46.9,115.5,68.4
Islington - Mildmay,E05000377,48.8,92.3,68.6
Islington - St. George's,E05000378,48.3,76.5,67.8
Islington - St. Mary's,E05000379,54.4,192.2,73
Islington - St. Peter's,E05000380,53,127.1,70.4
Islington - Tollington,E05000381,45.2,86.4,68.5
Kensington and Chelsea - Abingdon,E05000382,59.2,83.2,66.2
Kensington and Chelsea - Brompton,E05000383,57.4,185.5,69.2
Kensington and Chelsea - Campden,E05000384,62.4,124.7,71.6
Kensington and Chelsea - Colville,E05000385,48.6,172.2,69.9
Kensington and Chelsea - Courtfield,E05000386,58.7,109,64.8
Kensington and Chelsea - Cremorne,E05000387,41.2,89.5,63
Kensington and Chelsea - Earl's Court,E05000388,53.3,110.4,68.5
Kensington and Chelsea - Golborne,E05000389,32.1,130.9,59.3
Kensington and Chelsea - Hans Town,E05000390,55.1,188.3,69.1
Kensington and Chelsea - Holland,E05000391,58.8,70.8,66.4
Kensington and Chelsea - Norland,E05000392,51.2,97.2,67.4
Kensington and Chelsea - Notting Barns,E05000393,37.2,99.3,61.8
Kensington and Chelsea - Pembridge,E05000394,60.8,177.9,74.8
Kensington and Chelsea - Queen's Gate,E05000395,61.7,88,66.3
Kensington and Chelsea - Redcliffe,E05000396,60.5,80.1,74.3
Kensington and Chelsea - Royal Hospital,E05000397,56.1,117.9,72.8
Kensington and Chelsea - St. Charles,E05000398,35.5,114.8,63.4
Kensington and Chelsea - Stanley,E05000399,56.1,118.7,73
Kingston upon Thames - Alexandra,E05000400,32.7,34.7,75.1
Kingston upon Thames - Berrylands,E05000401,48.4,31.6,74.8
Kingston upon Thames - Beverley,E05000402,41.7,64.5,71.6
Kingston upon Thames - Canbury,E05000403,54.4,38.4,74.9
Kingston upon Thames - Chessington North and Hook,E05000404,22.8,43.9,76.4
Kingston upon Thames - Chessington South,E05000405,25.3,47.5,78.5
Kingston upon Thames - Coombe Hill,E05000406,44.5,47.8,64.5
Kingston upon Thames - Coombe Vale,E05000407,47.4,26.2,72.4
Kingston upon Thames - Grove,E05000408,47,268.5,66.8
Kingston upon Thames - Norbiton,E05000409,35.8,62.4,68.2
Kingston upon Thames - Old Malden,E05000410,34.4,29.6,74
Kingston upon Thames - St. James,E05000411,38,33.8,71.9
Kingston upon Thames - St. Mark's,E05000412,48.3,49.7,69.4
Kingston upon Thames - Surbiton Hill,E05000413,52.2,29.6,78.2
Kingston upon Thames - Tolworth and Hook Rise,E05000414,30,53.7,76.2
Kingston upon Thames - Tudor,E05000415,51.3,33.1,76.9
Lambeth - Bishop's,E05000416,47.2,243.6,66.2
Lambeth - Brixton Hill,E05000417,49.6,91.5,75.3
Lambeth - Clapham Common,E05000418,63.3,85.6,80.3
Lambeth - Clapham Town,E05000419,59.7,142.5,80
Lambeth - Coldharbour,E05000420,36.8,180.9,64.9
Lambeth - Ferndale,E05000421,52.9,145.6,77
Lambeth - Gipsy Hill,E05000422,39.3,79.6,69.7
Lambeth - Herne Hill,E05000423,52,92.4,75.3
Lambeth - Knight's Hill,E05000424,38.2,74.6,68.8
Lambeth - Larkhall,E05000425,48.5,92.8,73.5
Lambeth - Oval,E05000426,51.6,127.4,74.3
Lambeth - Prince's,E05000427,46.5,119.3,71.1
Lambeth - St. Leonard's,E05000428,46.3,104,75.6
Lambeth - Stockwell,E05000429,41,83.7,71.2
Lambeth - Streatham Hill,E05000430,46.4,76.9,74.6
Lambeth - Streatham South,E05000431,34.8,74.9,70.4
Lambeth - Streatham Wells,E05000432,42.6,72.7,74.2
Lambeth - Thornton,E05000433,47.8,55.2,74.3
Lambeth - Thurlow Park,E05000434,50.3,73.2,74
Lambeth - Tulse Hill,E05000435,42.7,80.3,70.5
Lambeth - Vassall,E05000436,41.3,81,67.6
Lewisham - Bellingham,E05000437,23.5,94,64.9
Lewisham - Blackheath,E05000438,53.2,83.9,74.1
Lewisham - Brockley,E05000439,47.3,78.8,71.3
Lewisham - Catford South,E05000440,34.2,44.8,70.2
Lewisham - Crofton Park,E05000441,45.1,58.4,73.9
Lewisham - Downham,E05000442,20.2,78.9,63.6
Lewisham - Evelyn,E05000443,33.5,69.6,63.7
Lewisham - Forest Hill,E05000444,46.4,69.9,73.6
Lewisham - Grove Park,E05000445,29.2,50.6,69.3
Lewisham - Ladywell,E05000446,44.5,55,70.5
Lewisham - Lee Green,E05000447,46.1,60.9,75.1
Lewisham - Lewisham Central,E05000448,42,134.9,69.6
Lewisham - New Cross,E05000449,34.7,108.5,64.6
Lewisham - Perry Vale,E05000450,41.5,54.6,72.9
Lewisham - Rushey Green,E05000451,32.9,118.7,66.2
Lewisham - Sydenham,E05000452,36.6,73.2,69.1
Lewisham - Telegraph Hill,E05000453,43.7,51.1,70.6
Lewisham - Whitefoot,E05000454,22.7,70.4,64.8
Merton - Abbey,E05000455,55.4,71.6,80.3
Merton - Cannon Hill,E05000456,35.2,35.4,75.9
Merton - Colliers Wood,E05000457,43.1,79.1,76.7
Merton - Cricket Green,E05000458,23.3,78.5,65.7
Merton - Dundonald,E05000459,60.7,60.4,83.2
Merton - Figge's Marsh,E05000460,25.3,78.8,66.3
Merton - Graveney,E05000461,32.1,55.6,71.6
Merton - Hillside,E05000462,64.6,56.7,79.8
Merton - Lavender Fields,E05000463,32.6,57.9,72.6
Merton - Longthornton,E05000464,27.5,50.9,69.9
Merton - Lower Morden,E05000465,24.5,33.1,78.1
Merton - Merton Park,E05000466,50.1,54.8,75.2
Merton - Pollards Hill,E05000467,23.4,60.2,67.8
Merton - Ravensbury,E05000468,25.1,63.7,69
Merton - Raynes Park,E05000469,54.3,43.9,77.6
Merton - St. Helier,E05000470,23.4,51.4,69.4
Merton - Trinity,E05000471,59.6,83.9,80.7
Merton - Village,E05000472,62.3,52.2,71.3
Merton - West Barnes,E05000473,41.9,49.6,76.5
Merton - Wimbledon Park,E05000474,59.6,42.2,78.4
Newham - Beckton,E05000475,27.9,125.2,60.3
Newham - Boleyn,E05000476,28.8,69.8,58.2
Newham - Canning Town North,E05000477,23.9,93.9,59.5
Newham - Canning Town South,E05000478,33.3,64.8,64.4
Newham - Custom House,E05000479,24.2,108.1,62.8
Newham - East Ham Central,E05000480,32.6,111.8,58
Newham - East Ham North,E05000481,31.1,54.7,56.3
Newham - East Ham South,E05000482,24.1,67.1,59
Newham - Forest Gate North,E05000483,33,64.7,64.7
Newham - Forest Gate South,E05000484,32.7,87.9,62.1
Newham - Green Street East,E05000485,30,60.1,55.4
Newham - Green Street West,E05000486,29.8,71.2,54.3
Newham - Little Ilford,E05000487,24.6,75.6,53
Newham - Manor Park,E05000488,30.2,66.8,55.8
Newham - Plaistow North,E05000489,26.8,61.9,58.4
Newham - Plaistow South,E05000490,26.2,92,61.8
Newham - Royal Docks,E05000491,42.7,71.5,71.9
Newham - Stratford and New Town,E05000492,40.6,240.9,68.9
Newham - Wall End,E05000493,29.6,46.6,57.1
Newham - West Ham,E05000494,29.8,58.8,63.1
Redbridge - Aldborough,E05000495,32,66.3,67.4
Redbridge - Barkingside,E05000496,35.2,50.5,67.3
Redbridge - Bridge,E05000497,29.9,58.6,73.2
Redbridge - Chadwell,E05000498,28.5,54.5,68.4
Redbridge - Church End,E05000499,46.3,61,79.3
Redbridge - Clayhall,E05000500,34,54,67.8
Redbridge - Clementswood,E05000501,32.4,136.7,56.5
Redbridge - Cranbrook,E05000502,37.2,73,62.8
Redbridge - Fairlop,E05000503,25.5,57.7,70.8
Redbridge - Fullwell,E05000504,26.5,55.4,66.7
Redbridge - Goodmayes,E05000505,31.4,70.3,61
Redbridge - Hainault,E05000506,20.4,60.4,65.1
